Full_flag:  False
Hybrid:  False
601: acc=76.00% acc_corr=76.00% avg#q_ae=353.83 med#q=348.0, avg_margin=0.025922 (n_ex=100, eps=0.063, 891.89s)
611: acc=76.00% acc_corr=76.00% avg#q_ae=353.83 med#q=348.0, avg_margin=0.025534 (n_ex=100, eps=0.063, 914.12s)
621: acc=75.00% acc_corr=75.00% avg#q_ae=364.40 med#q=353.0, avg_margin=0.025251 (n_ex=100, eps=0.063, 936.58s)
631: acc=75.00% acc_corr=75.00% avg#q_ae=364.40 med#q=353.0, avg_margin=0.025066 (n_ex=100, eps=0.063, 957.48s)
641: acc=75.00% acc_corr=75.00% avg#q_ae=364.40 med#q=353.0, avg_margin=0.024855 (n_ex=100, eps=0.063, 977.13s)
651: acc=75.00% acc_corr=75.00% avg#q_ae=364.40 med#q=353.0, avg_margin=0.024686 (n_ex=100, eps=0.063, 995.17s)
661: acc=75.00% acc_corr=75.00% avg#q_ae=364.40 med#q=353.0, avg_margin=0.024418 (n_ex=100, eps=0.063, 1013.16s)
671: acc=75.00% acc_corr=75.00% avg#q_ae=364.40 med#q=353.0, avg_margin=0.024286 (n_ex=100, eps=0.063, 1030.31s)
681: acc=74.00% acc_corr=74.00% avg#q_ae=376.62 med#q=363.5, avg_margin=0.023984 (n_ex=100, eps=0.063, 1048.27s)
691: acc=73.00% acc_corr=73.00% avg#q_ae=388.04 med#q=374.0, avg_margin=0.023661 (n_ex=100, eps=0.063, 1065.02s)
701: acc=72.00% acc_corr=72.00% avg#q_ae=399.14 med#q=377.0, avg_margin=0.023309 (n_ex=100, eps=0.063, 1083.37s)
711: acc=72.00% acc_corr=72.00% avg#q_ae=399.14 med#q=377.0, avg_margin=0.023134 (n_ex=100, eps=0.063, 1099.65s)
721: acc=72.00% acc_corr=72.00% avg#q_ae=399.14 med#q=377.0, avg_margin=0.022944 (n_ex=100, eps=0.063, 1116.05s)
731: acc=71.00% acc_corr=71.00% avg#q_ae=410.55 med#q=380.0, avg_margin=0.022844 (n_ex=100, eps=0.063, 1132.25s)
741: acc=69.00% acc_corr=69.00% avg#q_ae=431.48 med#q=430.0, avg_margin=0.022656 (n_ex=100, eps=0.063, 1148.03s)
751: acc=69.00% acc_corr=69.00% avg#q_ae=431.48 med#q=430.0, avg_margin=0.022523 (n_ex=100, eps=0.063, 1163.62s)
761: acc=68.00% acc_corr=68.00% avg#q_ae=441.56 med#q=434.0, avg_margin=0.022379 (n_ex=100, eps=0.063, 1179.15s)
771: acc=68.00% acc_corr=68.00% avg#q_ae=441.56 med#q=434.0, avg_margin=0.022181 (n_ex=100, eps=0.063, 1195.07s)
781: acc=68.00% acc_corr=68.00% avg#q_ae=441.56 med#q=434.0, avg_margin=0.022029 (n_ex=100, eps=0.063, 1210.89s)
791: acc=68.00% acc_corr=68.00% avg#q_ae=441.56 med#q=434.0, avg_margin=0.021815 (n_ex=100, eps=0.063, 1226.67s)
801: acc=68.00% acc_corr=68.00% avg#q_ae=441.56 med#q=434.0, avg_margin=0.021594 (n_ex=100, eps=0.063, 1242.47s)
811: acc=68.00% acc_corr=68.00% avg#q_ae=441.56 med#q=434.0, avg_margin=0.021343 (n_ex=100, eps=0.063, 1258.36s)
821: acc=68.00% acc_corr=68.00% avg#q_ae=441.56 med#q=434.0, avg_margin=0.021135 (n_ex=100, eps=0.063, 1274.14s)
831: acc=66.00% acc_corr=66.00% avg#q_ae=464.29 med#q=465.5, avg_margin=0.020984 (n_ex=100, eps=0.063, 1289.86s)
